id,name,state,region,primary_tags,secondary_tags,best_months,budget_min_per_day_inr,budget_max_per_day_inr,avg_trip_days,access,highlights,dos,donts
1,Goa,Goa,West,beach|nightlife,water_sports|food,Nov-Feb,5000,12000,4,flight|train|road,Beaches; nightlife; water sports,Book stays early in peak season; rent a scooter,Avoid isolated beaches late night; do not rely on walk-in in peak season
135,Bengaluru,Karnataka,South,city|food,culture|markets,Oct-Feb,3000,8000,2,flight|train|road,Food scenes; parks; breweries,Plan early morning visits; use metro,Avoid peak traffic hours; do not overpay for cabs
136,Matheran,Maharashtra,West,mountains|quiet,nature|family,Oct-Mar,2500,6000,2,train|road,Car-free hill station; viewpoints; walks,Take the toy train if possible; start early,Avoid monsoon landslide zones; do not litter trails
137,Igatpuri,Maharashtra,West,mountains|nature,lakes|quiet,Jun-Sep|Oct-Feb,2500,6000,2,train|road,Monsoon views; lakes; short treks,Carry rain gear in monsoon; start early,Avoid slippery trails in heavy rain; do not litter
138,Bhandardara,Maharashtra,West,nature|lakes,waterfalls|quiet,Jun-Sep|Oct-Feb,2500,6000,2,road,Lakes; waterfalls; stargazing,Carry warm layers at night; check dam timings,Avoid night drives in rain; do not litter
139,Kolad,Maharashtra,West,adventure|nature,rafting|weekend,Jun-Feb,2500,6000,2,road|train,River rafting; camping; forests,Book rafting slots early; carry change of clothes,Avoid rafting in unsafe weather; do not litter campsites
140,Ganpatipule,Maharashtra,West,beach|spiritual,quiet|food,Oct-Mar,3000,7000,2,road,Beach temple; quiet coast; seafood,Visit temple early; try local seafood,Avoid unsafe swimming zones; do not litter beaches
141,Ratnagiri,Maharashtra,West,beach|heritage,forts|food,Oct-Mar,3000,7000,2,train|road,Coastal forts; beaches; local food,Plan fort visits early; carry sun protection,Avoid peak holiday crowds; do not litter
142,Sindhudurg Fort,Maharashtra,West,heritage|beach,forts|history,Oct-Mar,3000,7000,2,road|boat,Sea fort; coastal views; beaches,Check boat timings; carry water,Avoid unsafe boat operators; do not litter
143,Satara,Maharashtra,West,heritage|nature,forts|waterfalls,Oct-Feb,2500,6000,2,road,Forts; viewpoints; waterfalls,Start early; carry water,Avoid monsoon peak treks; do not litter
144,Lavasa,Maharashtra,West,city|lakes,quiet|family,Oct-Mar,3000,7000,2,road,Lakeside promenades; cafes; views,Visit early morning; carry light layers,Avoid late night drives; do not litter
145,Diu,Gujarat,West,beach|heritage,forts|quiet,Oct-Mar,2500,6000,2,road,Portuguese fort; beaches; seafood,Explore fort early; rent a bicycle,Avoid unsafe swimming; do not litter beaches
146,Saputara,Gujarat,West,mountains|nature,lakes|family,Oct-Mar,2500,6000,2,road,Hill views; lake; gardens,Visit viewpoints early; carry light layers,Avoid peak holiday traffic; do not litter
147,Bhuj,Gujarat,West,culture|heritage,crafts|history,Oct-Feb,2500,6000,2,train|road,Crafts; palaces; local markets,Visit local craft villages; carry cash,Avoid peak afternoon heat; do not overpay for autos
148,Mandvi,Gujarat,West,beach|culture,heritage|markets,Oct-Mar,2500,6000,2,road,Beaches; shipyard; forts,Visit beach at sunset; explore shipyard,Avoid unsafe swimming; do not litter
149,Porbandar,Gujarat,West,heritage|coastal,beaches|culture,Oct-Mar,2500,6000,2,road,Coastal views; heritage homes; markets,Visit heritage sites early; carry water,Avoid peak noon heat; do not litter
150,Kevadia,Gujarat,West,culture|nature,monuments|family,Oct-Feb,3500,8000,2,road,Statue of Unity; gardens; river views,Book tickets early; plan transport,Avoid peak midday heat; do not litter
151,Vadodara,Gujarat,West,heritage|city,culture|food,Oct-Feb,2500,6000,2,train|road,Palaces; museums; local food,Visit museums early; try local snacks,Avoid peak traffic; do not overpay for autos
152,Junagadh,Gujarat,West,heritage|nature,forts|history,Oct-Feb,2500,6000,2,train|road,Forts; hills; heritage sites,Start early for hill climb; carry water,Avoid peak heat; do not litter
153,Bikaner,Rajasthan,North,heritage|culture,forts|desert,Oct-Feb,3000,7000,2,train|road,Junagarh fort; old city; snacks,Visit forts early; try local sweets,Avoid peak heat; do not overpay for guides
154,Ajmer,Rajasthan,North,spiritual|culture,heritage|markets,Oct-Feb,2500,6000,2,train|road,Dargah; lake; bazaars,Visit early morning; keep belongings secure,Avoid peak crowds without preparation; do not litter
155,Bundi,Rajasthan,North,heritage|quiet,forts|culture,Oct-Feb,2500,6000,2,road|train,Forts; stepwells; old town,Explore early; carry water,Avoid late night alleys; do not litter
156,Chittorgarh,Rajasthan,North,heritage|history,forts|culture,Oct-Feb,3000,7000,2,train|road,Massive fort; palaces; views,Start early; wear comfortable shoes,Avoid peak midday heat; do not climb unsafe areas
157,Alwar,Rajasthan,North,heritage|nature,forts|lakes,Oct-Feb,2500,6000,2,train|road,Fort; lake; wildlife nearby,Start early; plan fort visit,Avoid peak heat; do not litter
158,Bharatpur,Rajasthan,North,wildlife|nature,birds|lakes,Nov-Feb,2500,6000,2,train|road,Bird sanctuary; wetlands; cycles,Carry binoculars; visit early morning,Do not feed wildlife; avoid loud noise
159,Mathura,Uttar Pradesh,North,spiritual|culture,temples|food,Oct-Mar,2500,6000,2,train|road,Temples; ghats; festivals,Visit early morning; keep belongings secure,Avoid peak crowds without planning; do not litter
160,Vrindavan,Uttar Pradesh,North,spiritual|culture,temples|food,Oct-Mar,2500,6000,2,road|train,Temples; ghats; local food,Attend evening aarti; plan transport,Avoid late night isolated areas; do not litter
161,Prayagraj,Uttar Pradesh,North,spiritual|culture,rivers|heritage,Oct-Mar,2500,6000,2,train|road,Triveni Sangam; ghats; history,Visit early; keep belongings secure,Avoid peak traffic; do not litter
162,Ayodhya,Uttar Pradesh,North,spiritual|culture,temples|heritage,Oct-Mar,2500,6000,2,train|road,Temples; ghats; heritage sites,Visit early; plan local transport,Avoid peak crowds without planning; do not litter
163,Chitrakoot,Uttar Pradesh,North,spiritual|nature,rivers|quiet,Oct-Mar,2500,6000,2,road|train,Ghats; temples; forests,Start early; carry water,Avoid late night travel; do not litter
164,Ranikhet,Uttarakhand,North,mountains|quiet,views|family,Oct-Jun,3000,7000,2,road,Hill views; walks; calm weather,Carry light layers; start early,Avoid night drives in fog; do not litter
165,Lansdowne,Uttarakhand,North,mountains|quiet,nature|family,Oct-Jun,3000,7000,2,road,Quiet hill town; walks; views,Visit early morning; carry light layers,Avoid late night travel; do not litter
166,Mukteshwar,Uttarakhand,North,mountains|nature,views|quiet,Oct-Jun,3000,7000,2,road,Viewpoints; orchards; trails,Start early; carry light layers,Avoid night drives; do not litter
167,Chopta,Uttarakhand,North,trekking|nature,mountains|snow,Oct-Apr,3000,7000,3,road,Treks; views; meadows,Carry warm layers; start treks early,Avoid trekking in heavy snow without guide; do not litter
168,Kausani,Uttarakhand,North,mountains|quiet,views|nature,Oct-Jun,3000,7000,2,road,Himalayan views; calm stays; walks,Start early for sunrise views; carry layers,Avoid night drives; do not litter
169,Dalhousie,Himachal Pradesh,North,mountains|family,views|heritage,Oct-Jun,3000,7000,3,road,Colonial town; views; walks,Carry warm layers; start early,Avoid peak holiday congestion; do not litter
170,Kasauli,Himachal Pradesh,North,mountains|quiet,nature|walks,Oct-Jun,3000,7000,2,road,Quiet hill town; walks; views,Visit early; carry light layers,Avoid late night travel; do not litter
171,Tirthan Valley,Himachal Pradesh,North,nature|quiet,trekking|rivers,Mar-Jun|Sep-Nov,3000,7000,3,road,Rivers; forests; small treks,Carry cash; start treks early,Avoid monsoon peak treks; do not litter
172,Parwanoo,Himachal Pradesh,North,mountains|family,views|cable_car,Oct-Jun,3000,7000,2,road,Cable car views; orchards; walks,Visit early; carry light layers,Avoid peak holiday traffic; do not litter
173,Solan,Himachal Pradesh,North,mountains|quiet,nature|family,Oct-Jun,3000,7000,2,road,Hill views; walks; local markets,Start early; carry light layers,Avoid late night travel; do not litter
174,Chail,Himachal Pradesh,North,mountains|quiet,forests|heritage,Oct-Jun,3000,7000,2,road,Forest walks; palace; views,Carry light layers; visit early,Avoid late night travel; do not litter
175,Chandigarh,Chandigarh,North,city|family,gardens|food,Oct-Mar,3000,8000,2,train|road,Rock garden; lake; cafes,Explore early mornings; rent bicycles,Avoid peak traffic; do not litter
176,Patiala,Punjab,North,culture|heritage,food|palaces,Oct-Feb,2500,6000,2,road|train,Palaces; markets; food,Visit palaces early; try local food,Avoid peak traffic; do not overpay for autos
177,Kurukshetra,Haryana,North,spiritual|heritage,culture|history,Oct-Mar,2500,6000,2,road|train,Heritage sites; temples; lakes,Visit early; plan circuit,Avoid peak heat; do not litter
178,Bodh Gaya,Bihar,East,spiritual|culture,heritage|history,Oct-Feb,2500,6000,2,train|road,Mahabodhi temple; monasteries; history,Visit early; respect monastery rules,Avoid peak crowds without planning; do not litter
179,Rajgir,Bihar,East,spiritual|nature,hills|hot_springs,Oct-Feb,2500,6000,2,road|train,Hills; hot springs; temples,Start early; carry water,Avoid peak heat; do not litter
180,Nalanda,Bihar,East,heritage|history,culture|ruins,Oct-Feb,2500,6000,2,road|train,University ruins; museum; history,Visit early; carry water,Do not climb unsafe ruins; avoid peak heat
181,Ranchi,Jharkhand,East,nature|waterfalls,city|family,Oct-Feb,2500,6000,2,flight|train|road,Waterfalls; parks; lakes,Visit early; carry water,Avoid unsafe waterfall edges; do not litter
182,Netarhat,Jharkhand,East,mountains|quiet,nature|views,Oct-Feb,2500,6000,2,road,Hill views; sunrise points; forests,Carry light layers; start early,Avoid night drives; do not litter
183,Betla,Jharkhand,East,wildlife|nature,safari|forest,Nov-Apr,2500,6000,2,road,National park; safaris; forests,Book safari early; carry neutral colors,Do not feed animals; avoid loud noise
184,Raipur,Chhattisgarh,Central,city|culture,lakes|food,Oct-Feb,2500,6000,2,flight|train|road,City lakes; markets; local food,Explore early mornings; try local snacks,Avoid peak traffic; do not overpay for autos
185,Jagdalpur,Chhattisgarh,Central,nature|culture,waterfalls|tribal,Oct-Feb,2500,6000,3,road|train,Waterfalls; tribal markets; forests,Visit early; hire local guides,Avoid isolated areas late night; do not litter
186,Chitrakote Falls,Chhattisgarh,Central,waterfalls|nature,views|family,Jul-Feb,2500,6000,2,road,Large waterfall; viewpoints; river,Visit in daylight; carry rain gear in monsoon,Avoid slippery rocks; do not enter restricted zones
187,Gopalpur,Odisha,East,beach|quiet,food|family,Oct-Feb,2500,6000,2,road|train,Quiet beaches; lighthouse; seafood,Visit beach at sunrise; try local food,Avoid unsafe swimming; do not litter
188,Cuttack,Odisha,East,culture|heritage,food|markets,Oct-Feb,2500,6000,2,train|road,Old city; rivers; local food,Try local snacks; visit early,Avoid peak traffic; do not overpay for autos
189,Sambalpur,Odisha,East,culture|nature,rivers|textiles,Oct-Feb,2500,6000,2,train|road,River views; textile markets; culture,Visit early; carry water,Avoid peak heat; do not litter
190,Shantiniketan,West Bengal,East,culture|quiet,heritage|art,Oct-Feb,2500,6000,2,train|road,Art campus; heritage; calm stays,Visit early; check museum hours,Avoid peak heat; do not litter
191,Siliguri,West Bengal,East,city|food,markets|family,Oct-Mar,2500,6000,2,train|road,Transit city; food; markets,Plan quick stops; use local transport,Avoid peak traffic; do not overpay for taxis
192,Lachung,Sikkim,East,mountains|nature,snow|views,Oct-May,3500,8000,3,road,Valley views; waterfalls; snow in season,Carry warm layers; plan permits,Avoid late night travel; do not litter
193,Lachen,Sikkim,East,mountains|nature,snow|lakes,Oct-May,3500,8000,3,road,High altitude views; lakes; villages,Carry warm layers; plan permits,Avoid late night travel; do not litter
194,Yumthang Valley,Sikkim,East,nature|mountains,valleys|flowers,Mar-May,3500,8000,3,road,Valley blooms; river views; hot springs,Start early; carry warm layers,Avoid bad weather travel; do not litter
195,Imphal,Manipur,East,culture|history,lakes|food,Oct-Mar,3000,7000,2,flight|road,Museums; local food; markets,Explore early mornings; respect local customs,Avoid late night travel; do not litter
196,Loktak Lake,Manipur,East,lakes|nature,quiet|culture,Oct-Mar,3000,7000,2,road,Floating islands; lake views; birdlife,Take a guided boat ride; start early,Do not feed wildlife; avoid plastic waste
197,Agartala,Tripura,East,culture|heritage,palaces|food,Oct-Mar,3000,7000,2,flight|road,Palace; museums; local food,Visit palaces early; try local cuisine,Avoid peak traffic; do not litter
198,Udaipur Tripura,Tripura,East,heritage|spiritual,temples|quiet,Oct-Mar,2500,6000,2,road,Temple complex; lakes; calm stays,Visit early; carry water,Avoid late night travel; do not litter
199,Srinagar,Jammu and Kashmir,North,lakes|nature,heritage|food,Apr-Oct,5000,12000,4,flight|road,Dal lake; gardens; houseboats,Book stays early; carry light layers,Avoid late night travel; do not litter
200,Gulmarg,Jammu and Kashmir,North,snow|adventure,mountains|skiing,Dec-Mar,6000,14000,3,road,Ski slopes; cable car; views,Book stays early; carry warm gear,Avoid unsafe slopes; do not ignore weather alerts
201,Pahalgam,Jammu and Kashmir,North,mountains|nature,rivers|quiet,Apr-Oct,5000,12000,3,road,Valley views; river walks; meadows,Carry layers; start early,Avoid late night travel; do not litter
202,Sonamarg,Jammu and Kashmir,North,mountains|nature,snow|views,Apr-Oct,5000,12000,2,road,Meadow views; glaciers; river,Start early; carry warm layers,Avoid bad weather travel; do not litter
203,Jammu,Jammu and Kashmir,North,spiritual|culture,temples|food,Oct-Mar,3000,7000,2,train|road|flight,Temples; heritage; local food,Visit temples early; plan local transport,Avoid peak traffic; do not litter
204,Patnitop,Jammu and Kashmir,North,mountains|nature,views|family,Oct-Jun,4000,9000,2,road,Meadows; viewpoints; walks,Carry light layers; start early,Avoid late night travel; do not litter
205,Palolem,Goa,West,beach|relaxation,quiet|food,Nov-Feb,5000,12000,3,road|train,Calm beach; sunsets; cafes,Book stays early; visit beaches at sunrise,Avoid unsafe swimming zones; do not litter
206,Arambol,Goa,West,beach|quiet,culture|food,Nov-Feb,4000,9000,3,road|train,North Goa beach; markets; cafes,Visit early; rent a scooter,Avoid late night isolated areas; do not litter
207,Dudhwa National Park,Uttar Pradesh,North,wildlife|nature,safari|forest,Nov-Apr,3000,7000,2,road|train,Wildlife safaris; forests; birdlife,Book safaris early; carry neutral colors,Do not feed animals; avoid loud noise
208,Lonar,Maharashtra,West,lakes|nature,heritage|quiet,Oct-Feb,2500,6000,2,road,Crater lake; temples; walks,Start early; carry water,Avoid unsafe lake edges; do not litter
209,Khandala,Maharashtra,West,mountains|nature,views|weekend,Jun-Sep|Oct-Feb,2500,6000,2,road|train,Viewpoints; monsoon greenery; short walks,Carry rain gear in monsoon; start early,Avoid risky cliff edges; do not litter
210,Coimbatore,Tamil Nadu,South,city|food,culture|nature,Oct-Feb,3000,7000,2,flight|train|road,Temples; food; nearby hills,Plan early morning visits; use local transport,Avoid peak traffic; do not overpay for taxis
